event_id,market_id,slug,asset,duration,question,start_time,end_time,yes_token_id,no_token_id,resolution_source,volume,active,closed
126794,1037389,btc-updown-5m-1766923500,BTC,5m,"Bitcoin Up or Down - December 28, 7:05AM-7:10AM ET",1766923500,1766923800,65752307827660254240462088332510915736509099581837117268684956309076268781037,18302964335340804309977041496261504499662516262696335016049602929544522898290,https://data.chain.link/streams/btc-usd,0.0,true,false
127219,1039354,btc-updown-15m-1766939400,BTC,5m,"Bitcoin Up or Down - December 28, 11:30AM-11:45AM ET",1766939400,1766940300,56859075205851258689216616326372449760586802753406586794198231848691266563422,23551642852968753764163545481799053630414470215665807725349048284005839251218,https://data.chain.link/streams/btc-usd,0.0,true,false
126365,1035073,eth-updown-5m-1766902200,ETH,5m,"Ethereum Up or Down - December 28, 1:10AM-1:15AM ET",1766902200,1766902500,19511247710675362180936744751316677551114816960181732482029702122286011002325,7281071847164927042232976300592218827137552886222565280045316670936992144170,https://data.chain.link/streams/eth-usd,0.0,true,false
127697,1041799,sol-updown-5m-1766958600,SOL,5m,"Solana Up or Down - December 28, 4:50PM-4:55PM ET",1766958600,1766958900,75377589785907072211530100886055873090240455136023786073734431612410355243007,64678285070094481934993843919993125734083085035326741474378112618329623060269,https://data.chain.link/streams/sol-usd,0.0,true,false
126523,1036176,sol-updown-5m-1766910300,SOL,5m,"Solana Up or Down - December 28, 3:25AM-3:30AM ET",1766910300,1766910600,3158901987902969611514750521909345654540251163338018449899822353751078937590,43797356472756062426781649164807166798644090481119199579266746910591535623077,https://data.chain.link/streams/sol-usd,0.0,true,false
127853,1042879,btc-updown-5m-1766966700,BTC,5m,"Bitcoin Up or Down - December 28, 7:05PM-7:10PM ET",1766966700,1766967000,83161138350435748435282002123840191277636938552775290390619093569137248766195,30036481102043299218010487130326411683421831734756174257620489017660827912987,https://data.chain.link/streams/btc-usd,0.0,true,false
126878,1037991,eth-updown-5m-1766927700,ETH,5m,"Ethereum Up or Down - December 28, 8:15AM-8:20AM ET",1766927700,1766928000,22315787387443124809024754966445702217457001876175742664149451498254364463551,76073580235219737677295930895510231129526558289215521273006096622571840491337,https://data.chain.link/streams/eth-usd,0.0,true,false
127962,1043568,eth-updown-5m-1766972400,ETH,5m,"Ethereum Up or Down - December 28, 8:40PM-8:45PM ET",1766972400,1766972700,102949999433854792893576852760809805676289538727072591106994211589618605510019,32260951588660153908157913045231048046661317255024812840441099955452631984402,https://data.chain.link/streams/eth-usd,0.0,true,false
127964,1043570,eth-updown-15m-1766972700,ETH,5m,"Ethereum Up or Down - December 28, 8:45PM-9:00PM ET",1766972700,1766973600,66634625673055925472843151054713427717144237625031314485814260873712767647477,20277256328522423508614685003090619237483325962289552747871871429118679562294,https://data.chain.link/streams/eth-usd,0.0,true,false
127968,1043579,sol-updown-5m-1766972700,SOL,5m,"Solana Up or Down - December 28, 8:45PM-8:50PM ET",1766972700,1766973000,13569738780671722908989134252223641760375948509814601098885137001450906703495,60520961771589283631504678328680446840207362402688454466500636591617427562777,https://data.chain.link/streams/sol-usd,0.0,true,false
127970,1043582,eth-updown-5m-1766972700,ETH,5m,"Ethereum Up or Down - December 28, 8:45PM-8:50PM ET",1766972700,1766973000,5245432459623483726087787296768013348855842906508795888662489574693335551993,115634624064072869549525292499248296014221836456326577136513022848373073576823,https://data.chain.link/streams/eth-usd,0.0,true,false
127568,1041168,sol-updown-5m-1766952900,SOL,5m,"Solana Up or Down - December 28, 3:15PM-3:20PM ET",1766952900,1766953200,39179851074288671797008617892428409922578713611665251669558747016454727633902,83838476183455871659055962112732718964454487954082479365250821456836012103110,https://data.chain.link/streams/sol-usd,0.0,true,false
126233,1034422,btc-updown-5m-1766896200,BTC,5m,"Bitcoin Up or Down - December 27, 11:30PM-11:35PM ET",1766896200,1766896500,23631822869571629988254390167705389111688317547211292652847964931022577380176,72753946668032630264328033236675667766843303941976946136940171203775855325662,https://data.chain.link/streams/btc-usd,0.0,true,false
127940,1043503,sol-updown-5m-1766971200,SOL,5m,"Solana Up or Down - December 28, 8:20PM-8:25PM ET",1766971200,1766971500,32907416805595536782490504000401007948030465396679233336497659384097930169705,108653443415604547421849902367407488217199154709983839769923823762785771220807,https://data.chain.link/streams/sol-usd,0.0,true,false
127942,1043505,eth-updown-5m-1766971200,ETH,5m,"Ethereum Up or Down - December 28, 8:20PM-8:25PM ET",1766971200,1766971500,2836640246263395547417612504723192273788279743782644167005923079085692594429,4832190076748110095584146936003735308638343069188058464547332808245733698,https://data.chain.link/streams/eth-usd,0.0,true,false
126613,1036562,btc-updown-5m-1766914800,BTC,5m,"Bitcoin Up or Down - December 28, 4:40AM-4:45AM ET",1766914800,1766915100,78087773962567524227551073354038947038186467468608164449891263441848229176096,24772986399463535268655915598238035420486640511955015461160946184980105427571,https://data.chain.link/streams/btc-usd,0.0,true,false
127816,1042721,eth-updown-5m-1766964900,ETH,5m,"Ethereum Up or Down - December 28, 6:35PM-6:40PM ET",1766964900,1766965200,25295568745494685352786434150089487524827330589192566462453059702377853016451,80368041201021425738736869564155881545860346745374995106208476735131883405961,https://data.chain.link/streams/eth-usd,0.0,true,false
126392,1035340,eth-updown-5m-1766903700,ETH,5m,"Ethereum Up or Down - December 28, 1:35AM-1:40AM ET",1766903700,1766904000,49300531441551844890421958080053528607796817586736479861932058292711844439809,114795178583636299948248940376844053291549188058965200909381370038667643545148,https://data.chain.link/streams/eth-usd,0.0,true,false
127651,1041425,eth-updown-5m-1766956200,ETH,5m,"Ethereum Up or Down - December 28, 4:10PM-4:15PM ET",1766956200,1766956500,97454889340814373031506516031254947328481188838740618291212449766962415575441,29745288423413713515476492332404608475458671126897497585254325227736973017745,https://data.chain.link/streams/eth-usd,0.0,true,false
110006,964456,sol-updown-5m-1766163300,SOL,5m,"Solana Up or Down - December 19, 11:55AM-12:00PM ET",1766163300,1766163600,41088245933695409274628475961542304983112270332191649484476026406861422691751,97184449476470216496970877155210325458960385257448181396895448029779694881119,https://data.chain.link/streams/sol-usd,0.0,true,false
127383,1040324,btc-updown-5m-1766946300,BTC,5m,"Bitcoin Up or Down - December 28, 1:25PM-1:30PM ET",1766946300,1766946600,113473908121409000564020404102651134872381411435558123287959323179085800273650,10323980365246407778743029903773674997919091816440631180078260421592567132319,https://data.chain.link/streams/btc-usd,0.0,true,false
127820,1042737,sol-updown-15m-1766965500,SOL,5m,"Solana Up or Down - December 28, 6:45PM-7:00PM ET",1766965500,1766966400,47628129974441735311837336089083814178173778524062405644158498886760030118833,67620373435754068656154993992666971073265905207992421930757514905084072332475,https://data.chain.link/streams/sol-usd,0.0,true,false
127824,1042742,btc-updown-15m-1766965500,BTC,5m,"Bitcoin Up or Down - December 28, 6:45PM-7:00PM ET",1766965500,1766966400,4019525733586690841737488881982084472334363129222417118537296097354515357855,27748076680790581582547591085997843708508519928433051413594088597736141341825,https://data.chain.link/streams/btc-usd,0.0,true,false
127826,1042743,sol-updown-5m-1766965200,SOL,5m,"Solana Up or Down - December 28, 6:40PM-6:45PM ET",1766965200,1766965500,6351430723708277707672666068466118228828769845196016672638898779264775391586,16242910683458962908574595266164976352013407850832613250291408330806280460611,https://data.chain.link/streams/sol-usd,0.0,true,false
127825,1042741,eth-updown-5m-1766965200,ETH,5m,"Ethereum Up or Down - December 28, 6:40PM-6:45PM ET",1766965200,1766965500,1771774583592742300075957469068484870221890226974477213427853233017758209140,99961662830832656480950828344915254327696796940731418486505561350397291230459,https://data.chain.link/streams/eth-usd,0.0,true,false
